Water kg/m3,Cement kg/m3,Water / Cement Ratio,Natural Coarse Aggregate Fineness Modulus,Natural Coarse Aggregate (kg/m3),Recycled Coarse Aggregate Fineness Modulus,Recycled coarse aggregate Absorption Capacity (%),Recycled Coarse Aggregate (kg/m3),Replacement Percentage of Recycled Coarse Aggregate (%),Natural Fine Aggregate Fineness Modulus,Natural Fine Aggregate (kg/m3),Crumb Rubber FM,Crumb Rubber (kg/m3),Replacement Percentage of Crumb Rubber (%),Addition of Fiber (kg/m3),Fiber Mass(%),No Fiber,PPFiber,SteelFiber,SteelTireWiresFiber,Age (Days),Compressive Strength (MPa)
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,34.01
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,36.7
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,36.26
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,38.78
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,32.09
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,31.59
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,35.61
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,34.64
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,28,33.83
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,28,33.77
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,28,34.31
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,28,33.18
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,28,33.39
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,28,35.17
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,28,36.11
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,28,37.78
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,28,36.25
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,28,28.56
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,28,27.12
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,28,28.6
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,28,30.82
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,28,30.09
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,28,29.14
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,28,27.3
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,28,24.46
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,28,26.04
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,0,28,28.26
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,0,28,25.7
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,0,28,28.48
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,56,38.89
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,56,36.19
188,428,0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,0,56,39.21
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,56,36.97
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,56,35.02
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,0,56,36.31
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,56,39.21
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,56,39.38
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,0,56,38.53
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,56,32.8
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,56,31.87
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,0,56,30.43
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,56,34
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,56,32.38
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,0,56,33.19
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,56,25.06
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,56,27.15
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,0,56,28.21
188,428,0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,0,56,31.38
